K;Inertia;Silhouette;Pureza;Entropia
2;326.6339482607775;0.3420207755486185;0.5925925925925926;1.2805658369965511
3;261.5972295102353;0.20747989060942829;0.6666666666666666;0.8510261492106465
4;217.91960208624693;0.2277840867249365;0.5925925925925926;1.0677378304929788
5;171.10230511602646;0.2507895171013569;0.5925925925925926;1.0762462972578377
6;133.9353192855769;0.2927246475503381;0.6666666666666666;0.948505202756919
7;106.54521698272609;0.28751017802862094;0.7037037037037037;0.8781298497980254
8;85.1573169234988;0.3013614053117649;0.7407407407407407;0.7262829805346966
9;69.74168204964482;0.3156853261493548;0.7037037037037037;0.7837503503233394
