Grandes Regiões / Unidades da Federação;2000;;;2001;;;2002;;;2003;;;2004;;;2005;;;2006;;;2007;;;2008;;;2009;;;2010;;;2011;;;2012;;;2013;;;2014;;;2015;;;2016;;;2017;;;2018;;;2019;;;2020;;;2021;;;2022;;;2023(3);;
;P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2)
Total;  2.486,2 ;  941,8 ;  1.544,4 ;  2.884,4 ;  1.125,4 ;  1.758,9 ;  2.932,6 ;  961,3 ;  1.971,3 ;  3.023,6 ;  925,2 ;  2.098,4 ;  2.917,0 ;  1.067,3 ;  1.849,7 ;  3.286,1 ;  1.320,8 ;  1.965,3 ;  3.427,6 ;  1.426,0 ;  2.001,6 ;  4.740,1 ;  1.717,2 ;  3.022,9 ;  5.611,7 ;  2.011,4 ;  3.600,3 ;  6.036,2 ;  2.321,1 ;  3.715,1 ;  6.999,7 ;  2.491,7 ;  4.508,0 ;  8.598,4 ;  2.767,9 ;  5.830,5 ;  9.782,2 ;  3.165,4 ;  6.616,8 ;  10.981,3 ;  3.345,8 ;  7.635,5 ;  12.721,2 ;  3.713,0 ;  9.008,1 ;  14.831,8 ;  4.259,1 ;  10.572,7 ;  14.907,6 ;  3.613,3 ;  11.294,2 ;  15.456,9 ;  3.662,5 ;  11.794,4 ;  17.001,2 ;  3.630,7 ;  13.370,5 ;  13.785,3 ;  3.537,4 ;  10.247,8 ;  14.115,2 ;  3.866,5 ;  10.248,7 ;  16.905,0 ;  4.376,4 ;  12.528,6 ;  20.541,3 ;  5.692,8 ;  14.848,5 ;  18.978,6 ;  5.150,8 ;  13.827,8 
Tocantins;  - ; - ; - ;  - ; - ; - ;  0,0 ;  0,0 ; - ;  0,0 ;  0,0 ; - ;  - ; - ; - ;  1,5 ;  1,5 ; - ;  2,1 ;  2,1 ; - ;  3,2 ;  3,2 ; - ;  2,8 ;  2,8 ; - ;  0,9 ;  0,9 ;  - ;  2,6 ;2,6 ;-;  4,6 ;4,6 ;-;  2,6 ;2,6 ;-;  5,7 ;5,7 ;-;  2,9 ;2,9;-;  1,3 ;1,3;-;  1,6 ;1,6 ;-;  1,8 ;1,8 ;-;  0,4 ;0,4 ;-;  1,9 ;1,9 ;-;  1,2 ;1,2 ;-;  1,4 ;1,4 ;-;  5,7 ;5,7 ;-;  14,8 ;14,8 ;-
Nordeste;  82,5 ;  80,3 ;  2,2 ;  138,1 ;  127,7 ;  10,4 ;  134,3 ;  123,2 ;  11,1 ;  171,4 ;  156,4 ;  15,0 ;  166,7 ;  149,9 ;  16,8 ;  214,8 ;  195,1 ;  19,8 ;  217,4 ;  196,5 ;  20,9 ;  312,5 ;  247,6 ;  64,9 ;  306,9 ;  218,4 ;  88,6 ;  305,4 ;  195,1 ;  110,3 ;  333,7 ;  184,7 ;  149,0 ;  451,2 ;  226,5 ;  224,7 ;  507,7 ;  237,3 ;  270,5 ;  561,4 ;  255,0 ;  306,4 ;  842,3 ;  419,2 ;  423,1 ;  811,8 ;  309,6 ;  502,3 ;  1.009,6 ;  344,6 ;  665,0 ;  1.075,4 ;  371,0 ;  704,4 ;  1.029,3 ;  365,7 ;  663,6 ;  1.110,8 ;  338,0 ;  772,8 ;  1.036,3 ;  291,0 ;  745,3 ;  1.267,2 ;  390,3 ;  876,9 ;  1.664,7 ;  631,1 ;  1.033,6 ;  1.869,5 ;  615,6 ;  1.253,9 
Alagoas;  1,1 ;  1,1 ; - ;  1,6 ;  1,6 ; - ;  3,3 ;  3,3 ; - ;  5,2 ;  5,2 ; - ;  5,9 ;  5,9 ; - ;  6,7 ;  6,7 ; - ;  6,3 ;  6,3 ; - ;  4,9 ;  4,9 ; - ;  7,3 ;  7,3 ; - ;  8,9 ;  8,9 ;  - ;  9,2 ;9,2 ;-;  9,8 ;9,8 ;-;  16,8 ;16,8 ;-;  11,9 ;11,9 ;-;23,0 ;23,0;-;  10,4 ;10,4;-;  14,4 ;13,0;1,4 ;  14,5 ;12,8;1,7 ;  11,5 ;9,9;1,6 ;  7,9 ;6,6;1,3 ;  9,2 ;7,5;1,7 ;  18,7 ;16,3;2,5 ;  32,4 ;29,9;2,5 ;  40,7 ;34,4;6,3 
Bahia;  44,0 ;  44,0 ; - ;  63,5 ;  60,0 ;  3,5 ;  87,2 ;  82,4 ;  4,8 ;  105,7 ;  97,8 ;  7,9 ;  120,7 ;  111,3 ;  9,4 ;  153,5 ;  143,4 ;  10,1 ;  148,5 ;  137,3 ;  11,2 ;  190,0 ;  153,2 ;  36,8 ;  110,6 ;  66,2 ;  44,4 ;  101,2 ;  46,1 ;  55,1 ;  120,4 ;52,0 ;68,4 ;  195,8 ;82,6 ;113,2 ;  192,1 ;66,3 ;125,8 ;  241,7 ;70,3 ;171,4 ;312,3 ;93,1;219,2 ;  336,5 ;67,5;269,0 ;  378,9 ;64,8;314,1 ;  395,9 ;88,2;307,7 ;  409,1 ;76,4;332,7 ;  463,0 ;58,6;404,4 ;  409,2 ;22,6;386,7 ;  481,9 ;29,6;452,3 ;  569,7 ;63,8;505,9 ;  731,4 ;75,2;656,2 
Ceará;  2,7 ;  1,1 ;  1,6 ;  7,6 ;  4,8 ;  2,9 ;  5,9 ;  2,6 ;  3,3 ;  10,6 ;  6,6 ;  4,0 ;  8,5 ;  4,3 ;  4,2 ;  15,2 ;  9,5 ;  5,8 ;  15,8 ;  10,4 ;  5,5 ;  54,9 ;  36,8 ;  18,2 ;  69,2 ;  44,4 ;  24,7 ;  55,4 ;  28,5 ;  26,9 ;  63,5 ;20,9 ;42,6 ;  64,6 ;10,3 ;54,3 ;  100,8 ;25,8 ;75,0 ;  85,6 ;28,8 ;56,8 ;177,6 ;109,4;68,2 ;  114,2 ;32,8;81,4 ;  132,4 ;41,7;90,7 ;  165,7 ;55,5;110,2 ;  185,9 ;51,1;134,8 ;  204,6 ;63,4;141,2 ;  158,7 ;25,8;132,9 ;  239,6 ;73,0;166,6 ;  470,4 ;270,2;200,2 ;  307,7 ;76,5;231,2 
Maranhão;  0,5 ;  0,5 ; - ;  23,7 ;  23,7 ; - ;  7,4 ;  7,4 ; - ;  18,6 ;  18,6 ; - ;  0,2 ;  0,2 ; - ;  6,0 ;  6,0 ; - ;  6,9 ;  6,9 ; - ;  7,7 ;  7,7 ; - ;  12,7 ;  12,7 ; - ;  13,6 ;  12,8 ;  0,9 ;  16,5 ;12,9 ;3,7 ;  16,3 ;14,5 ;1,8 ;  25,5 ;21,5 ;4,0 ;  39,3 ;34,1 ;5,1 ;56,3 ;30,0;26,3 ;  47,5 ;30,0;17,5 ;  72,0 ;29,4;42,6 ;  61,2 ;30,1;31,1 ;  78,3 ;39,4;39,0 ;  65,7 ;26,2;39,5 ;  83,3 ;39,3;44,0 ;  74,4 ;30,6;43,8 ;  111,1 ;49,3;61,8 ;  136,6 ;77,6;59,0 
Paraíba;  5,3 ;  5,3 ; - ;  5,9 ;  5,9 ; - ;  4,6 ;  4,6 ; - ;  5,7 ;  5,7 ; - ;  8,2 ;  8,2 ; - ;  8,4 ;  8,4 ; - ;  13,1 ;  13,1 ; - ;  16,3 ;  13,5 ;  2,7 ;  20,9 ;  16,4 ;  4,5 ;  32,3 ;  19,5 ;  12,8 ;  31,7 ;18,6 ;13,1 ;  49,9 ;21,0 ;28,9 ;  57,8 ;23,2 ;34,5 ;  52,8 ;22,5 ;30,3 ;67,1 ;27,0;40,1 ;  84,3 ;28,7;55,6 ;  112,0 ;34,4;77,6 ;  128,0 ;26,1;101,9 ;  92,5 ;36,7;55,8 ;  101,8 ;41,5;60,3 ;  126,1 ;57,8;68,3 ;  97,5 ;26,2;71,2 ;  119,4 ;37,5;82,0 ;  247,7 ;160,0;87,7 
Pernambuco;  24,7 ;  24,7 ; - ;  30,2 ;  27,5 ;  2,7 ;  23,4 ;  21,3 ;  2,1 ;  23,0 ;  20,8 ;  2,1 ;  18,0 ;  16,2 ;  1,8 ;  18,4 ;  16,1 ;  2,2 ;  21,4 ;  18,6 ;  2,8 ;  33,1 ;  26,0 ;  7,2 ;  73,5 ;  62,5 ;  10,9 ;  63,6 ;  54,0 ;  9,6 ;  58,2 ;42,5 ;15,7 ;  84,3 ;68,7 ;15,6 ;  72,4 ;56,9 ;15,6 ;  79,6 ;56,3 ;23,3 ;154,0 ;113,0;41,0 ;  134,9 ;102,1;32,8 ;  170,5 ;130,5;40,0 ;  154,1 ;117,5;36,6 ;  147,7 ;113,3;34,4 ;  152,1 ;97,4;54,7 ;  132,7 ;97,0;35,7 ;  220,0 ;165,9;54,1 ;  209,2 ;124,8;84,4 ;  197,0 ;108,6;88,4 
Piauí;  0,0 ;  0,0 ; - ;  0,1 ;  0,1 ; - ;  0,1 ;  0,1 ; - ;  0,1 ;  0,1 ; - ;  0,4 ;  0,4 ; - ;  1,6 ;  1,6 ; - ;  2,7 ;  2,7 ; - ;  1,2 ;  1,2 ; - ;  1,1 ;  1,1 ; - ;  2,2 ;  2,2 ;  - ;  1,9 ;1,9 ;-;  0,8 ;0,8 ;-;  2,7 ;2,0 ;0,7 ;  6,8 ;6,2 ;0,6 ;4,6 ;3,2;1,4 ;  19,5 ;15,3;4,2 ;  47,5 ;11,6;35,8 ;  19,7 ;9,4;10,3 ;  19,1 ;6,5;12,5 ;  18,4 ;5,2;13,3 ;  19,4 ;5,0;14,4 ;  21,6 ;6,1;15,5 ;  26,9 ;16,3;10,6 ;  51,8 ;22,2;29,6 
Rio Grande do Norte;  4,1 ;  3,5 ;  0,6 ;  5,3 ;  4,0 ;  1,3 ;  1,9 ;  1,0 ;  0,9 ;  1,0 ;  0,0 ;  1,0 ;  2,1 ;  0,8 ;  1,4 ;  3,8 ;  2,1 ;  1,7 ;  2,5 ;  1,0 ;  1,4 ;  3,1 ;  3,1 ; - ;  9,2 ;  5,2 ;  4,0 ;  17,2 ;  12,2 ;  5,0 ;  19,0 ;13,4 ;5,6 ;  23,5 ;12,6 ;10,9 ;  32,3 ;17,5 ;14,8 ;  35,0 ;16,0 ;18,9 ;41,3 ;14,5;26,8 ;  55,4 ;13,6;41,8 ;80,7 ;17,8;62,9 ;121,7 ;16,8;104,9 ;69,2 ;16,4;52,8 ;76,4 ;18,2;58,2 ;81,8 ;20,1;61,7 ;93,0 ;22,0;71,0 ;108,4 ;22,1;86,3 ;125,7 ;30,3;95,4 
