Fluxo;Ano;Mês;Países;UF do Produto;Valor US$ FOB;Quilograma Líquido;Produto_Estrategico;Periodo_Guerra
1;2025;MAIO;BRASIL;ESPIRITO SANTO;-0.628490114978259;-0.6891869460047405;0;1
1;2025;OUTUBRO;BRASIL;RIO GRANDE DO SUL;-0.6284936207181478;-0.6891893405324332;0;1
1;2025;OUTUBRO;BRASIL;RIO DE JANEIRO;-0.628494847727109;-0.6891890412164716;0;1
1;2025;ABRIL;BRASIL;RIO DE JANEIRO;-0.6284958994490757;-0.6891896398483948;0;1
0;2025;JULHO;RUSSIA;PARANA;9.378806538301449;9.965999142667426;1;1
0;2025;MAIO;RUSSIA;PARANA;7.363139320310846;8.274959261899927;1;1
0;2025;DEZEMBRO;RUSSIA;PARANA;6.816547319432845;7.316661796382179;1;1
0;2025;AGOSTO;RUSSIA;PARANA;6.581031888984837;6.807944088752014;1;1
0;2025;FEVEREIRO;RUSSIA;PARANA;5.50410260079762;7.404844409226142;1;1
0;2025;AGOSTO;RUSSIA;MINAS GERAIS;5.184917955152625;5.264390112708241;1;1
0;2025;JULHO;RUSSIA;RIO GRANDE DO SUL;5.1731961632601635;5.439854636804557;1;1
0;2025;MARCO;RUSSIA;PARANA;5.0856609934007135;6.331082100008073;1;1
0;2025;ABRIL;RUSSIA;MARANHAO;4.9545792755115325;5.794858093592704;1;1
0;2025;ABRIL;RUSSIA;PARANA;4.776799349432516;5.857844707832573;1;1
0;2025;JUNHO;RUSSIA;MATO GROSSO;4.66976911062499;4.752004527421589;1;1
0;2025;MARCO;RUSSIA;MARANHAO;4.481057060563483;5.64432862444517;1;1
0;2025;OUTUBRO;RUSSIA;SAO PAULO;4.448989531938908;5.48803385097192;1;1
0;2025;SETEMBRO;RUSSIA;SAO PAULO;4.303608251616971;4.7731399458275945;1;1
0;2025;MAIO;RUSSIA;BAHIA;4.279019868471335;4.893106621316577;1;1
0;2025;JULHO;RUSSIA;SANTA CATARINA;4.100203645681165;4.2764051731300095;1;1
0;2025;JUNHO;RUSSIA;SAO PAULO;4.000429587295644;4.145810326613783;1;1
0;2025;MAIO;RUSSIA;MINAS GERAIS;3.8649923381685176;4.241825738856531;1;1
0;2025;MAIO;RUSSIA;RIO GRANDE DO SUL;3.7394775599358843;4.372374191398711;1;1
0;2025;JUNHO;RUSSIA;SANTA CATARINA;3.568769587647713;3.790378788137374;1;1
0;2025;MAIO;RUSSIA;SANTA CATARINA;3.3824267166031112;3.8120186138018464;1;1
0;2025;JULHO;RUSSIA;MARANHAO;3.3069600563111328;3.4761706003338024;1;1
0;2025;JUNHO;RUSSIA;MATO GROSSO;3.1391585176778376;3.3851343689752564;1;1
0;2025;ABRIL;RUSSIA;RIO GRANDE DO SUL;2.8057149761827977;3.702627130414905;1;1
0;2025;JANEIRO;RUSSIA;BAHIA;2.7854859805889842;3.934570600977446;1;1
0;2025;OUTUBRO;RUSSIA;MINAS GERAIS;2.732204869322804;3.1432328958234668;1;1
0;2025;AGOSTO;RUSSIA;MINAS GERAIS;2.7126002460031997;4.159968929407952;1;1
0;2025;AGOSTO;RUSSIA;MARANHAO;2.7072001795653624;2.7483449286586628;1;1
0;2025;JUNHO;RUSSIA;PARA;2.65472205802073;2.8313639819860867;1;1
0;2025;MARCO;RUSSIA;RIO GRANDE DO SUL;2.6454020485261407;3.4486472405387882;1;1
0;2025;OUTUBRO;RUSSIA;MARANHAO;2.615829730267477;2.055154304162665;1;1
0;2025;JUNHO;RUSSIA;RIO GRANDE DO SUL;2.4910585194652755;2.92903814342476;1;1
0;2025;OUTUBRO;RUSSIA;MATO GROSSO;2.375949127796829;1.8207736833144939;1;1
0;2025;MAIO;RUSSIA;PARA;2.341169208220227;3.2377975834635917;1;1
0;2025;JULHO;RUSSIA;SAO PAULO;2.2829902277552914;3.667566755254347;1;1
0;2025;NOVEMBRO;RUSSIA;SAO PAULO;2.1981937418970348;3.0896735371097597;1;1
0;2025;SETEMBRO;RUSSIA;MATO GROSSO;2.1308433953087986;1.4490814460456867;1;1
0;2025;SETEMBRO;RUSSIA;MARANHAO;2.125273125199356;2.2420112726625425;1;1
0;2025;OUTUBRO;RUSSIA;MINAS GERAIS;2.114773784806147;2.0250983122902744;1;1
0;2025;JULHO;RUSSIA;MINAS GERAIS;2.0646657187133926;2.03470958726962;1;1
0;2025;AGOSTO;RUSSIA;PARA;2.041465257989764;2.1290180005834336;1;1
0;2025;FEVEREIRO;RUSSIA;MARANHAO;1.9678023008706145;2.717025703701988;1;1
0;2025;FEVEREIRO;RUSSIA;MINAS GERAIS;1.9589348823956796;2.6449572445556293;1;1
0;2025;NOVEMBRO;RUSSIA;SAO PAULO;1.9493051407819078;2.081494707414293;1;1
0;2025;OUTUBRO;RUSSIA;PARANA;1.9192639298131062;1.6899518954361918;1;1
0;2025;DEZEMBRO;RUSSIA;MINAS GERAIS;1.886217248037567;1.9582392678657703;1;1
0;2025;MAIO;RUSSIA;SAO PAULO;1.852003680740014;2.189756452635818;1;1
0;2025;JANEIRO;RUSSIA;MATO GROSSO;1.8435015603615006;2.674787252877022;1;1
0;2025;FEVEREIRO;RUSSIA;SAO PAULO;1.8331911793483027;2.438216118095568;1;1
0;2025;SETEMBRO;RUSSIA;MINAS GERAIS;1.8205042572644323;1.7038311765750065;1;1
